1.056	5.593	0.541	3.439	-0.408	0.799	0.245	1.018	0.943	3.310	2.393	2.698	1.562
0.916	5.352	0.862	3.462	-0.326	0.973	0.009	0.999	1.006	3.249	2.393	2.704	1.562
1.207	5.168	0.719	2.274	-0.034	0.836	0.078	0.932	1.058	3.453	2.379	2.755	1.562
1.334	5.055	0.677	2.817	-0.348	0.841	0.078	0.981	1.058	3.402	2.227	2.692	1.664
1.201	5.366	0.605	3.236	-0.326	0.935	0.162	1.061	1.006	3.300	2.559	2.723	1.581
1.207	5.352	0.507	3.473	-0.520	0.973	0.289	0.871	0.828	3.218	2.601	2.596	1.702
1.031	5.296	0.654	3.914	-0.528	0.897	0.137	0.944	1.035	3.238	2.559	2.685	1.658
1.092	5.508	0.738	3.779	-0.214	1.038	0.171	0.999	1.075	3.392	2.366	2.666	1.422
1.267	5.296	0.624	3.088	-0.243	0.874	0.049	1.036	1.006	3.330	2.324	2.628	1.562
1.304	5.069	0.662	3.473	-0.221	0.846	0.181	0.963	1.052	3.453	2.352	2.666	1.600
1.013	5.465	0.809	3.473	-0.273	1.034	0.122	1.073	1.058	3.228	2.421	2.698	1.396
1.092	5.112	0.643	3.541	-0.445	0.930	0.044	0.859	0.903	3.218	2.697	2.749	1.517
1.092	5.649	0.764	3.405	-0.393	0.963	0.068	1.024	0.955	3.279	2.241	2.692	1.415
1.304	5.253	0.745	2.342	-0.071	0.799	0.034	0.846	1.087	3.473	2.421	2.787	1.651
1.128	5.211	0.745	2.964	-0.423	0.799	0.225	0.883	0.989	3.289	2.131	2.641	1.492
0.711	5.126	0.609	3.767	-0.625	0.836	0.068	0.705	0.886	3.095	2.601	2.603	1.702
0.922	5.225	0.609	3.654	-0.490	0.865	0.049	0.736	0.937	3.238	2.601	2.742	1.709
1.243	5.395	0.556	3.202	-0.146	0.841	0.039	0.944	1.024	3.289	2.255	2.831	1.600
1.158	5.338	0.567	2.862	-0.378	0.958	0.083	0.816	0.897	3.443	2.518	2.685	1.588
1.249	5.154	0.616	3.111	-0.139	0.799	0.098	0.889	0.966	3.351	2.628	2.711	1.543
1.164	5.126	0.654	2.919	-0.191	0.832	0.112	0.901	0.909	3.249	2.725	2.723	1.613
1.352	5.282	0.624	2.591	-0.296	0.865	0.176	0.926	1.006	3.361	2.697	2.704	1.588
1.013	5.579	0.809	3.270	-0.326	1.024	0.098	1.012	0.966	3.228	2.366	2.679	1.428
