0.557	0.485	0.611	0.565	0.569	0.570	0.515	0.610	0.670	0.583	0.538	0.651	0.713
0.534	0.468	0.696	0.567	0.580	0.607	0.467	0.607	0.681	0.577	0.538	0.652	0.713
0.582	0.455	0.658	0.462	0.619	0.578	0.481	0.596	0.690	0.597	0.537	0.660	0.713
0.603	0.447	0.647	0.510	0.577	0.579	0.481	0.604	0.690	0.592	0.526	0.650	0.729
0.581	0.469	0.628	0.547	0.580	0.599	0.498	0.617	0.681	0.582	0.550	0.655	0.716
0.582	0.468	0.602	0.568	0.554	0.607	0.524	0.586	0.650	0.574	0.553	0.635	0.735
0.553	0.464	0.641	0.607	0.553	0.591	0.493	0.598	0.686	0.576	0.550	0.649	0.728
0.563	0.479	0.663	0.595	0.595	0.621	0.500	0.607	0.693	0.591	0.536	0.646	0.691
0.592	0.464	0.633	0.534	0.591	0.586	0.475	0.613	0.681	0.585	0.533	0.640	0.713
0.598	0.448	0.643	0.568	0.594	0.580	0.502	0.601	0.689	0.597	0.535	0.646	0.719
0.550	0.476	0.682	0.568	0.587	0.620	0.490	0.619	0.690	0.575	0.540	0.651	0.687
0.563	0.451	0.638	0.574	0.564	0.598	0.474	0.584	0.663	0.574	0.560	0.659	0.706
0.563	0.489	0.670	0.562	0.571	0.605	0.479	0.611	0.672	0.580	0.527	0.650	0.690
0.598	0.461	0.665	0.468	0.614	0.570	0.472	0.582	0.695	0.599	0.540	0.665	0.727
0.569	0.458	0.665	0.523	0.567	0.570	0.511	0.588	0.678	0.581	0.519	0.642	0.702
0.500	0.452	0.629	0.594	0.540	0.578	0.479	0.559	0.660	0.562	0.553	0.636	0.735
0.535	0.459	0.629	0.584	0.558	0.584	0.475	0.564	0.669	0.576	0.553	0.658	0.736
0.588	0.471	0.615	0.544	0.604	0.579	0.473	0.598	0.684	0.581	0.528	0.672	0.719
0.574	0.467	0.618	0.514	0.573	0.604	0.482	0.577	0.662	0.596	0.547	0.649	0.717
0.589	0.454	0.631	0.536	0.605	0.570	0.485	0.589	0.674	0.587	0.555	0.653	0.710
0.575	0.452	0.641	0.519	0.598	0.577	0.488	0.591	0.664	0.577	0.562	0.655	0.721
0.606	0.463	0.633	0.490	0.584	0.584	0.501	0.595	0.681	0.588	0.560	0.652	0.717
0.550	0.484	0.682	0.550	0.580	0.618	0.485	0.609	0.674	0.575	0.536	0.648	0.692
0.588	0.454	0.642	0.543	0.578	0.548	0.490	0.595	0.689	0.584	0.548	0.649	0.738
0.606	0.463	0.645	0.504	0.568	0.565	0.496	0.590	0.655	0.600	0.508	0.647	0.718
0.553	0.471	0.683	0.590	0.559	0.613	0.472	0.618	0.681	0.575	0.543	0.639	0.701
0.553	0.485	0.677	0.590	0.574	0.619	0.493	0.606	0.672	0.583	0.539	0.646	0.700
0.567	0.466	0.645	0.528	0.569	0.564	0.496	0.583	0.673	0.583	0.540	0.643	0.707
0.569	0.474	0.663	0.583	0.569	0.577	0.490	0.610	0.683	0.588	0.541	0.642	0.709
0.570	0.489	0.667	0.578	0.588	0.591	0.483	0.604	0.680	0.578	0.546	0.639	0.704
0.585	0.478	0.622	0.558	0.564	0.579	0.491	0.607	0.683	0.585	0.544	0.654	0.724
0.607	0.448	0.632	0.539	0.580	0.570	0.504	0.598	0.676	0.589	0.534	0.659	0.713
0.603	0.464	0.626	0.508	0.563	0.580	0.507	0.582	0.660	0.595	0.539	0.642	0.707
0.589	0.467	0.620	0.519	0.589	0.568	0.486	0.594	0.693	0.599	0.531	0.661	0.725
0.531	0.513	0.691	0.614	0.533	0.613	0.487	0.622	0.680	0.584	0.532	0.639	0.697
0.589	0.423	0.633	0.556	0.588	0.556	0.525	0.588	0.666	0.591	0.551	0.656	0.740
0.556	0.482	0.672	0.552	0.580	0.618	0.486	0.612	0.679	0.580	0.542	0.648	0.694
0.605	0.447	0.647	0.519	0.598	0.585	0.499	0.594	0.680	0.591	0.530	0.647	0.704
0.589	0.462	0.636	0.520	0.567	0.606	0.500	0.607	0.682	0.599	0.531	0.644	0.709
0.598	0.438	0.654	0.498	0.584	0.582	0.481	0.600	0.664	0.578	0.542	0.652	0.732
0.592	0.457	0.650	0.523	0.585	0.586	0.477	0.592	0.678	0.593	0.530	0.643	0.730
0.607	0.453	0.646	0.555	0.611	0.576	0.487	0.602	0.683	0.603	0.538	0.658	0.722
0.574	0.448	0.597	0.528	0.568	0.585	0.484	0.590	0.655	0.603	0.539	0.653	0.721
0.529	0.455	0.614	0.634	0.576	0.580	0.535	0.598	0.684	0.586	0.558	0.651	0.683
0.533	0.460	0.633	0.622	0.564	0.575	0.521	0.590	0.671	0.578	0.577	0.638	0.691
0.590	0.462	0.631	0.509	0.608	0.565	0.479	0.591	0.669	0.573	0.549	0.650	0.708
0.588	0.444	0.549	0.476	0.558	0.610	0.482	0.593	0.680	0.584	0.514	0.637	0.700
0.538	0.411	0.669	0.583	0.586	0.573	0.527	0.608	0.660	0.588	0.559	0.642	0.696
