2.798	2.033	-1.535	-1.858	1.391	-2.715	1.487	1.020	1.679	-1.290	6.491	-1.764
2.656	2.462	-1.900	-1.955	4.394	-3.020	1.807	0.588	1.691	-1.244	6.687	-2.018
2.919	2.490	-1.421	-1.784	-0.517	-2.652	1.693	0.727	1.821	-0.874	7.000	-1.585
2.897	2.446	-1.816	-1.805	-0.463	-2.618	1.794	0.869	1.766	-1.189	6.546	-1.661
2.846	2.214	-1.426	-1.875	0.804	-2.683	1.918	0.882	1.817	-1.336	6.814	-1.678
2.853	2.447	-0.679	-1.915	1.242	-2.791	1.767	0.865	1.681	-1.191	6.860	-1.920
2.827	2.883	-2.047	-1.613	1.139	-2.493	1.468	0.325	1.311	-1.215	6.213	-1.367
2.604	2.460	-2.059	-1.849	4.239	-2.555	1.410	0.677	1.693	-0.936	6.883	-1.101
2.575	2.940	-2.196	-1.762	0.642	-2.823	1.343	0.849	1.609	-0.972	6.470	-1.145
2.689	2.443	-1.784	-1.759	0.487	-2.534	1.622	0.573	1.564	-1.208	6.455	-1.159
2.786	1.650	-1.639	-1.833	4.755	-2.546	2.032	0.201	1.746	-1.277	6.871	-0.980
2.905	2.247	-1.031	-1.908	0.779	-2.596	1.822	0.913	1.704	-1.213	6.669	-1.987
2.638	2.541	-2.106	-1.883	4.599	-2.873	1.539	0.511	1.710	-1.239	6.633	-2.070
2.836	2.526	-1.248	-1.682	-0.473	-2.895	1.727	0.700	1.681	-0.992	6.565	-1.613
2.564	1.795	-1.594	-1.905	2.043	-2.494	0.969	0.400	1.915	-1.325	6.652	-2.011
2.766	1.884	-0.528	-1.855	1.584	-2.654	1.435	0.889	1.565	-1.343	6.863	-1.986
2.664	1.543	-0.931	-1.941	0.307	-2.873	1.642	0.648	1.722	-1.217	6.063	-1.925
2.638	2.618	-1.677	-1.870	0.154	-2.893	2.070	0.670	2.060	-1.233	6.713	-1.919
2.118	2.123	-1.245	-1.786	1.902	-2.795	1.852	0.612	1.528	-0.730	6.506	-1.873
2.564	2.312	-1.663	-1.718	-0.170	-2.646	1.885	0.944	1.782	-1.213	6.202	-1.981
